,Mean Expression,Log2 Fold Change,Adjusted P value,Gene Name,Function,Pathway
PMI0474,144.426099993932,3.9506370556231203,4.897786614107209e-22,,(GenBank) putative phage protein,
PMI1283,12.183354087788501,3.40163529840185,0.00042948676783795,,(GenBank) putative exported protein,
PMI0235,7.113928179552491,3.1885860999261,0.0046324608329975205,,(GenBank) putative pyridoxal-phosphate dependent enzyme,"pmr00260  Glycine, serine and threonine metabolism, pmr00270  Cysteine and methionine metabolism, pmr01100  Metabolic pathways, pmr01130  Biosynthesis of antibiotics, pmr01230  Biosynthesis of amino acids"
PMI1709,233.867684625251,2.7271418950475903,7.59978836646406e-11,,(GenBank) putative membrane protein,
fig|529507.6.peg.2778,10.6449305708473,2.7268315681233597,0.0134938944035127,,,
PMI2570,192.595860004369,2.7036706222710003,7.7764888061922e-16,,(GenBank) putative membrane protein,
PMI2399,733.9482248007671,2.63998916036609,1.33821185955847e-15,tetAJ,(GenBank) tetracycline resistance protein (MFS-family transporter),
PMI1705,117.12436870884599,2.6180870814718302,2.73007706908919e-07,dmsA,(GenBank) dimethyl sulfoxide reductase chain A,pmr00920  Sulfur metabolism
PMI0865,7.35802064675755,2.4651865039538197,0.0407229538824426,,(GenBank) putative aminodeoxychorismate lyase,
PMI3006,416.928862858333,2.44326344372691,1.38298032069175e-22,,(GenBank) conserved hypothetical protein,
PMI1707,274.01115764337004,2.4336635223458196,2.68525599373102e-10,dmsC,(GenBank) anaerobic dimethyl sulfoxide reductase chain C,pmr00920  Sulfur metabolism
PMI0632,21.0648212741974,2.38402503434879,0.00644523982221925,,(GenBank) putative membrane protein,
PMI3252,17.0695115052233,2.3226930735969997,0.0354114717941098,bfd,(GenBank) bacterioferritin-associated ferredoxin,
PMI3289,101.342787882398,2.3205890702354397,1.75449712705987e-08,smf,(GenBank) conserved hypothetical protein,
PMIP19,12.4010701832163,2.28728590522677,0.03626361316618899,,(GenBank) putative conjugal transfer protein,
PMI1047,41.3079431249629,2.2823542879374,0.000131749446103869,arnT,(GenBank) undecaprenyl phosphate-alpha-4-amino-4-deoxy-l-arabinose arabinosyl transferase,pmr01503  Cationic antimicrobial peptide (CAMP) resistance
fig|529507.6.peg.1026,61.6896353243125,2.24482663298907,3.3903060648750105e-05,,,
fig|529507.6.peg.2494,22.9093709208445,2.2396088418307403,0.00350511806129038,,,
PMI3283,841.874987021533,2.2318140818886,1.3056419995106202e-28,,(GenBank) conserved hypothetical protein,
PMI0455,195.91730726451303,2.1134409608306597,8.409226710527079e-10,nagE,"(GenBank) N-acetylglucosamine-specific PTS system, EIICBA component","pmr00520  Amino sugar and nucleotide sugar metabolism, pmr02060  Phosphotransferase system (PTS)"
PMI1085,12.523646158922,2.08386082179067,0.0493922318838893,lolB,(GenBank) outer-membrane lipoprotein,
PMI1768,13.7566746070981,2.04925168023912,0.0389708043583218,,(GenBank) putative phosphatase,
PMI0975,26.1921990583823,2.02738945697229,0.00958802927443508,,(GenBank) conserved hypothetical protein,
PMI3234,24.985215941254395,2.02490880299716,0.019111854423921,,(GenBank) putative membrane protein,
PMI3574,30.8030102635624,1.9663740809688701,0.00728696985617725,narI,(GenBank) respiratory nitrate reductase 1 gamma chain,"pmr00910  Nitrogen metabolism, pmr01120  Microbial metabolism in diverse environments, pmr02020  Two-component system"
PMI2660,122.799875006079,1.9489598909446002,3.83309320810291e-06,caiF,(GenBank) transcriptional activator for carnitine metabolism,
PMI1865,151.456382460145,1.8949454756546797,2.32393002968778e-08,,(GenBank) peptidase,
PMI3500,37.1102791863699,1.8134039596154299,0.0054853531725821796,,(GenBank) hypothetical protein,
PMI1448,33.4509437750384,1.81332858063326,0.0140235887823326,,(GenBank) putative lipoprotein,
PMI1612,39.8939291195128,1.7834881540393899,0.00679559689573942,,(GenBank) metallo-beta-lactamase superfamily protein,pmr00790  Folate biosynthesis
fig|529507.6.peg.2163,55.2922559445833,1.7613014415859398,0.00574002396897567,,,
PMI0378,32.8429300758149,1.75919114018556,0.0195160869733207,gshA,(GenBank) glutamate--cysteine ligase,"pmr00270  Cysteine and methionine metabolism, pmr00480  Glutathione metabolism, pmr01100  Metabolic pathways"
PMI1880,43.72581554539471,1.75652057903407,0.00267815463359078,pmfE,(GenBank) putative minor fimbrial subunit,
PMI0279,271.004622652507,1.75106625757328,4.29142232479022e-07,zapA,(GenBank) metalloprotease,pmr01503  Cationic antimicrobial peptide (CAMP) resistance
PMI1482,31.185123872678,1.65224908908797,0.0278116280778677,,"(GenBank) ABC transporter, permease protein",pmr02024  Quorum sensing
PMI0663,227.876218861903,1.6447472818032802,1.52587967832699e-08,hisC,(GenBank) histidinol-phosphate aminotransferase,"pmr00340  Histidine metabolism, pmr00350  Tyrosine metabolism, pmr00360  Phenylalanine metabolism, pmr00400  Phenylalanine, tyrosine and tryptophan biosynthesis, pmr00401  Novobiocin biosynthesis, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01130  Biosynthesis of antibiotics, pmr01230  Biosynthesis of amino acids"
